"","variable","ols_coefficient","lasso_coefficient"
"1","(Intercept)",-60.8411755529293,119.891706018381
"2","d_baking_sheet",1.30485400502817,0.196407309751124
"3","d_balcony",11.4517460600234,2.95798149087726
"4","d_bathtub",4.66996884763921,1.18421349347631
"5","d_bed_linens",3.95348765868512,1.87093442200352
"6","d_bread_maker",-13.9664410968797,-1.58741329919229
"7","d_building_staff",8.24483336800272,1.01911841471079
"8","d_carbon_monoxide_alarm",4.28923127932259,1.7451156650834
"9","d_cleaning_before_checkout",-12.5777450918182,-2.51150797966932
"10","d_coffee_machine",5.53421105479658,2.70068260479492
"11","d_cooking_basics",-12.044341180336,-5.83623026466068
"12","d_dishes_and_silverware",4.02029106313731,1.95011508166945
"13","d_elevator",7.72339027168073,3.79892628575895
"14","d_essentials",-7.55520558709642,-1.93331027273425
"15","d_ethernet_connection",-3.14122257415826,-0.643591388313643
"16","d_extra_pillows_and_blankets",-3.13258026536791,-1.05932903201891
"17","d_family_friendly",2.1112021631407,0.580180193841108
"18","d_fire_extinguisher",10.0278712688107,3.01147578805529
"19","d_first_aid_kit",-2.36967798110716,-0.763210127279598
"20","d_free_parking_on_premises",1.19294307956606,0.162809621907306
"21","d_free_parking_on_street",1.3305360204657,0.24240748841619
"22","d_freezer",-12.0368810897905,-1.54910536192122
"23","d_game_console",-2.60699433544038,-0.242281683064658
"24","d_hangers",1.39976458667305,0.661598174766194
"25","d_have_air_condfan",12.5231376782443,3.16204766888121
"26","d_have_body_soapgel",-10.2155091173914,-2.72758603682827
"27","d_have_breakfast",-0.385507187815884,-0.0551261907705236
"28","d_have_cable",6.39139712576,2.58239695429958
"29","d_have_dryer",6.30290516628256,2.74817809828809
"30","d_have_fireplace",15.4294227166271,3.7266987779161
"31","d_have_fitnessgym",7.10781840031139,0.478486576591282
"32","d_have_frige",0.736915437977875,0.391586078576263
"33","d_have_garden",0.272317484893528,0.0203839301510373
"34","d_have_heating",-0.182949811963697,-0.0453962426860835
"35","d_have_iron",1.43217968448407,0.679602349480135
"36","d_have_kitchen",-2.48520624624679,-0.483186979539058
"37","d_have_oven",12.5230212807655,5.84371567801318
"38","d_have_stove",-0.314435559441707,-0.0594575855391759
